identity,attribute,region_stereo,region_nonstereo,region_unsure,NA_stereo,NA_nonstereo,NA_unsure,Annotation1,Annotation2,Annotation3,mean offensiveness_score
Palestinian,terrorist,2,4,0,6,0,0,4,4,4,4
Palestinian,criminal,0,3,0,2,1,0,4,4,4,4
Pakistani,good at terrorism,3,0,0,3,0,0,4,4,4,4
Northern Irish,terrorist,3,0,0,3,0,0,4,4,4,4
Nigerien,criminal,2,1,0,3,0,0,4,4,4,4
Nigerian,criminal,2,1,0,3,0,0,4,4,4,4
Nicaraguan,criminal,1,2,0,2,1,0,4,4,4,4
New Zealand,sheep fucker,3,0,0,3,0,0,4,4,4,4
New Zealand,criminal,0,3,0,1,2,0,4,4,4,4
New Zealand,terrorist,0,3,0,1,2,0,4,4,4,4
Mexican,criminal,3,0,0,3,0,0,4,4,4,4
Mexican,gangster,3,0,0,3,0,0,4,4,4,4
Mexican,murder,3,0,0,3,0,0,4,4,4,4
Mexican,killer,2,1,0,2,1,0,4,4,4,4
Mexican,rapist,1,2,0,2,1,0,4,4,4,4
Mauritanian,criminal,2,1,0,3,0,0,4,4,4,4
Malian,criminal,2,1,0,2,1,0,4,4,4,4
Libyan,terrorist,1,2,0,1,2,0,4,4,4,4
Libyan,criminal,0,3,0,2,1,0,4,4,4,4
Liberian,thief,2,1,0,3,0,0,4,4,4,4
Liberian,criminal,2,1,0,2,1,0,4,4,4,4
Lebanese,terrorist,1,2,0,2,1,0,4,4,4,4
Lebanese,criminal,0,3,0,2,1,0,4,4,4,4
Jordanian,criminal,1,2,0,1,2,0,4,4,4,4
Jordanian,terrorist,0,3,0,1,2,0,4,4,4,4
Italian,gangster,3,0,0,3,0,0,4,4,4,4
Israeli,terrorist,2,1,0,2,1,0,4,4,4,4
Iraqi,terrorist,2,1,0,3,0,0,4,4,4,4
Iraqi,criminal,0,3,0,2,1,0,4,4,4,4
Iranian,terrorist,1,2,0,0,3,0,4,4,4,4
Indian,murderer,1,2,0,0,3,0,4,4,4,4
Hondurans,criminal,2,1,0,2,1,0,4,4,4,4
Herzegovinian,terrorist,1,2,0,2,1,0,4,4,4,4
Guinean,criminal,2,1,0,2,1,0,4,4,4,4
Guatemalan,criminal,1,2,0,2,1,0,4,4,4,4
Ghanaian,criminal,2,1,0,2,1,0,4,4,4,4
Gambian,criminal,2,1,0,3,0,0,4,4,4,4
Eritrean,terrorist,2,1,0,2,1,0,4,4,4,4
Eritrean,criminal,2,1,0,1,2,0,4,4,4,4
Egyptian,criminal,0,3,0,1,2,0,4,4,4,4
Costa Rican,criminal,1,2,0,2,1,0,4,4,4,4
Costa Rican,terrorist,1,2,0,1,2,0,4,4,4,4
Congolese,criminal,2,1,0,2,1,0,4,4,4,4
Colombian,murderer,3,0,0,3,0,0,4,4,4,4
Colombian,criminal,2,1,0,3,0,0,4,4,4,4
Chadian,criminal,2,1,0,2,1,0,4,4,4,4
Cameroonian,thief,2,1,0,2,1,0,4,4,4,4
Cameroonian,criminal,2,1,0,2,1,0,4,4,4,4
Cameroonian,fuck,2,1,0,1,2,0,4,4,4,4
Barundi,murderer,2,1,0,2,1,0,4,4,4,4
Bangladeshi,criminal,2,1,0,0,3,0,4,4,4,4
Bangladeshi,murderous,1,2,0,0,3,0,4,4,4,4
Australian,terrorist,0,3,0,1,2,0,4,4,4,4
Australian,slut,0,3,0,1,2,0,4,4,4,4
Algerian,criminal,1,2,0,1,2,0,4,4,4,4
Algerian,terrorist,0,3,0,1,2,0,4,4,4,4
Albanian,murderous,3,0,0,3,0,0,4,4,4,4
Albanian,criminal,3,0,0,1,2,0,4,4,4,4
Albanian,killer,2,1,0,2,1,0,4,4,4,4
Afghans,terrorism,3,0,0,2,1,0,4,4,4,4
Afghans,criminal,3,0,0,1,2,0,4,4,4,4
Afghans,thief,2,1,0,1,2,0,4,4,4,4
Australian,thief,0,6,0,2,4,0,3.5,4,4,3.833333333
Yemeni,violent,1,2,0,2,1,0,4,4,3,3.666666667
Welsh,sheep shaggers,2,1,0,3,0,0,4,3,4,3.666666667
Vietnamese,violent,2,1,0,1,2,0,4,4,3,3.666666667
Vietnamese,thief,2,1,0,0,3,0,3,4,4,3.666666667
Vietnamese,cruel,1,2,0,1,1,1,4,4,3,3.666666667
United States,hate the french,1,2,0,1,2,0,4,3,4,3.666666667
Ugandan,violent,2,1,0,1,2,0,4,4,3,3.666666667
Turks,cruel,2,1,0,2,1,0,4,4,3,3.666666667
Turks,violent,1,2,0,2,1,0,4,4,3,3.666666667
Turks,thief,0,3,0,2,1,0,3,4,4,3.666666667
Tunisian,violent,1,2,0,1,2,0,4,4,3,3.666666667
Thai,prostitute,2,1,0,3,0,0,3,4,4,3.666666667
Tanzanian,cruel,2,1,0,2,1,0,4,4,3,3.666666667
Syrian,violent,2,1,0,3,0,0,4,4,3,3.666666667
Sri Lankan,violent,1,2,0,1,2,0,4,4,3,3.666666667
South African,violent,2,1,0,3,0,0,4,4,3,3.666666667
Somalis,violent,3,0,0,3,0,0,4,4,3,3.666666667
Serbian,thief,2,1,0,2,1,0,3,4,4,3.666666667
Saudi Arabian,cruel,1,2,0,2,1,0,4,4,3,3.666666667
Salvadoran,gang banger,2,1,0,2,1,0,3,4,4,3.666666667
Russian,cruel,2,1,0,3,0,0,4,4,3,3.666666667
Romanian,thief,3,0,0,3,0,0,3,4,4,3.666666667
Polish,thief,1,2,0,2,1,0,3,4,4,3.666666667
Philippine,thief,2,1,0,0,3,0,3,4,4,3.666666667
Philippine,prostitute,1,2,0,2,1,0,3,4,4,3.666666667
Philippine,cruel,1,2,0,0,3,0,4,4,3,3.666666667
Peruvian,thief,1,2,0,2,1,0,3,4,4,3.666666667
Palestinian,violent,0,3,0,3,0,0,4,4,3,3.666666667
Palestinian,cruel,0,3,0,1,2,0,4,4,3,3.666666667
Pakistani,violent,3,0,0,3,0,0,4,4,3,3.666666667
Pakistani,illiterate,3,0,0,2,1,0,4,4,3,3.666666667
Pakistani,cruel,3,0,0,1,2,0,4,4,3,3.666666667
North Korean,cruel,1,2,0,2,1,0,4,4,3,3.666666667
Nigerian,thief,2,1,0,3,0,0,3,4,4,3.666666667
New Zealand,sheep shaggers,3,0,0,3,0,0,4,3,4,3.666666667
New Zealand,violent,1,2,0,1,2,0,4,4,3,3.666666667
New Zealand,cruel,1,2,0,1,2,0,4,4,3,3.666666667
Moroccan,thief,1,2,0,0,3,0,3,4,4,3.666666667
Moroccan,violent,0,3,0,2,1,0,4,4,3,3.666666667
Montenegrin,thief,1,2,0,2,1,0,3,4,4,3.666666667
Mongolian,cruel,2,1,0,2,1,0,4,4,3,3.666666667
Mexican,gang banger,2,1,0,2,1,0,3,4,4,3.666666667
Mexican,illiterate,1,2,0,3,0,0,4,4,3,3.666666667
Mexican,cruel,1,2,0,2,1,0,4,4,3,3.666666667
Mexican,child molester,1,2,0,2,1,0,3,4,4,3.666666667
Macedonian,thief,1,2,0,2,1,0,3,4,4,3.666666667
Japanese,cruel,1,2,0,1,2,0,4,4,3,3.666666667
Ivorians,illiterate,2,1,0,2,1,0,4,4,3,3.666666667
Irish,violent,3,0,0,2,1,0,4,4,3,3.666666667
Iraqi,violent,2,1,0,3,0,0,4,4,3,3.666666667
Iraqi,cruel,1,2,0,1,2,0,4,4,3,3.666666667
Iranian,cruel,2,1,0,0,3,0,4,4,3,3.666666667
Indian,illiterate,1,2,0,2,1,0,4,4,3,3.666666667
Indian,cruel,1,2,0,0,3,0,4,4,3,3.666666667
Indian,violent,1,2,0,0,3,0,4,4,3,3.666666667
Herzegovinian,thief,1,1,1,2,1,0,3,4,4,3.666666667
Gambian,thief,2,1,0,1,2,0,3,4,4,3.666666667
Gabonese,violent,3,0,0,3,0,0,4,4,3,3.666666667
Equatorial Guinean,prostitute,2,1,0,3,0,0,3,4,4,3.666666667
Egyptian,cruel,1,2,0,0,3,0,4,4,3,3.666666667
Cypriot,thief,1,2,0,1,1,1,3,4,4,3.666666667
Croatian,thief,1,2,0,2,1,0,3,4,4,3.666666667
Congolese,bastard,2,1,0,1,2,0,4,4,3,3.666666667
Colombian,violent,2,1,0,3,0,0,4,4,3,3.666666667
Chinese,cruel,1,2,0,3,0,0,4,4,3,3.666666667
Chinese,thief,0,3,0,1,2,0,3,4,4,3.666666667
Chilean,violent,1,2,0,2,1,0,4,4,3,3.666666667
Chilean,cruel,1,2,0,0,3,0,4,4,3,3.666666667
Cambodian,violent,2,1,0,1,2,0,4,4,3,3.666666667
Cambodian,brutalize,1,2,0,1,2,0,4,4,3,3.666666667
Bulgarian,thief,2,1,0,2,1,0,3,4,4,3.666666667
Brazilian,violent,1,2,0,3,0,0,4,4,3,3.666666667
Brazilian,cruel,1,2,0,1,2,0,4,4,3,3.666666667
Beninois,illiterate,3,0,0,3,0,0,4,4,3,3.666666667
Beninois,violent,3,0,0,2,1,0,4,4,3,3.666666667
Belgian,child molester,0,3,0,1,2,0,3,4,4,3.666666667
Bangladeshi,cruel,2,1,0,2,1,0,4,4,3,3.666666667
Bangladeshi,violent,2,1,0,1,2,0,4,4,3,3.666666667
Azerbaijani,violent,1,2,0,1,1,1,4,4,3,3.666666667
Azerbaijani,thief,1,2,0,1,1,1,3,4,4,3.666666667
Azerbaijani,cruel,0,3,0,1,1,1,4,4,3,3.666666667
Australian,violent,1,2,0,1,2,0,4,4,3,3.666666667
Australian,cruel,1,2,0,1,2,0,4,4,3,3.666666667
Australian,illiterate,0,3,0,2,1,0,4,4,3,3.666666667
Armenian,thief,3,0,0,3,0,0,3,4,4,3.666666667
Armenian,violent,1,2,0,1,1,1,4,4,3,3.666666667
Armenian,cruel,1,2,0,1,1,1,4,4,3,3.666666667
Argentine,violent,2,1,0,2,1,0,4,4,3,3.666666667
Argentine,cruel,1,2,0,1,2,0,4,4,3,3.666666667
Angolan,violent,2,1,0,2,1,0,4,4,3,3.666666667
Algerian,violent,1,2,0,2,1,0,4,4,3,3.666666667
Algerian,thief,0,3,0,1,2,0,3,4,4,3.666666667
Albanian,thief,3,0,0,2,1,0,3,4,4,3.666666667
Albanian,violent,2,1,0,3,0,0,4,4,3,3.666666667
Afghans,violent,3,0,0,2,1,0,4,4,3,3.666666667
Afghans,cruel,3,0,0,1,2,0,4,4,3,3.666666667
Australian,criminal,5,1,0,3,3,0,4,3,4,3.666666667
Vietnamese,dirty,2,1,0,2,1,0,4,4,2,3.333333333
Vietnamese,aggressive,1,2,0,2,1,0,3,4,3,3.333333333
Venezuelan,dirty,1,2,0,1,2,0,4,4,2,3.333333333
Uruguayan,dirty,1,2,0,3,0,0,4,4,2,3.333333333
United States,fat,3,0,0,3,0,0,4,3,3,3.333333333
Turks,aggressive,3,0,0,3,0,0,3,4,3,3.333333333
Turks,brutal,1,2,0,3,0,0,4,3,3,3.333333333
Tunisian,dirty,1,2,0,0,3,0,4,4,2,3.333333333
Tunisian,aggressive,0,3,0,1,2,0,3,4,3,3.333333333
Syrian,dirty,2,1,0,3,0,0,4,4,2,3.333333333
Syrian,aggressive,1,2,0,3,0,0,3,4,3,3.333333333
Sri Lankan,torturer,1,2,0,2,1,0,4,2,4,3.333333333
Spanish,dirty,2,1,0,2,1,0,4,4,2,3.333333333
South African,aggressive,2,1,0,3,0,0,3,4,3,3.333333333
Saudi Arabian,aggressive,0,3,0,1,2,0,3,4,3,3.333333333
Salvadoran,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Russian,brutal,2,1,0,2,1,0,4,3,3,3.333333333
Russian,aggressive,2,1,0,2,1,0,3,4,3,3.333333333
Romanian,dirty,3,0,0,3,0,0,4,4,2,3.333333333
Polish,dirty,2,1,0,1,2,0,4,4,2,3.333333333
Philippine,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Philippine,aggressive,1,2,0,0,3,0,3,4,3,3.333333333
Peruvian,dirty,1,2,0,1,2,0,4,4,2,3.333333333
Paraguayan,dirty,1,2,0,1,2,0,4,4,2,3.333333333
Panamanian,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Palestinian,aggressive,3,0,0,2,1,0,3,4,3,3.333333333
Palestinian,dirty,0,3,0,2,1,0,4,4,2,3.333333333
Pakistani,brutal,3,0,0,2,1,0,4,3,3,3.333333333
Pakistani,dirty,3,0,0,1,2,0,4,4,2,3.333333333
Pakistani,aggressive,3,0,0,1,2,0,3,4,3,3.333333333
North Korean,aggressive,1,2,0,3,0,0,3,4,3,3.333333333
Nigerian,aggressive,2,1,0,3,0,0,3,4,3,3.333333333
Nigerian,dirty,2,1,0,2,1,0,4,4,2,3.333333333
Nicaraguan,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Myanmar,dirty,2,1,0,3,0,0,4,4,2,3.333333333
Myanmar,brutal,0,3,0,1,2,0,4,3,3,3.333333333
Mozambican,dirty,2,1,0,3,0,0,4,4,2,3.333333333
Moroccan,aggressive,2,1,0,1,2,0,3,4,3,3.333333333
Moroccan,dirty,1,2,0,3,0,0,4,4,2,3.333333333
Mexican,obese,1,2,0,1,2,0,4,3,3,3.333333333
Mauritian,obese,2,1,0,1,2,0,4,3,3,3.333333333
Laos,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Jordanian,dirty,0,3,0,3,0,0,4,4,2,3.333333333
Japanese,suicide,1,2,0,0,3,0,4,3,3,3.333333333
Japanese,aggressive,1,2,0,0,3,0,3,4,3,3.333333333
Israeli,aggressive,3,0,0,2,1,0,3,4,3,3.333333333
Iraqi,dirty,2,1,0,0,3,0,4,4,2,3.333333333
Iraqi,aggressive,1,1,1,3,0,0,3,4,3,3.333333333
Iranian,brutal,1,2,0,1,2,0,4,3,3,3.333333333
Indonesian,dirty,2,1,0,1,2,0,4,4,2,3.333333333
Indonesian,aggressive,1,2,0,1,2,0,3,4,3,3.333333333
Indian,aggressive,2,1,0,1,2,0,3,4,3,3.333333333
Indian,brutal,2,1,0,0,3,0,4,3,3,3.333333333
Indian,dirty,0,3,0,2,1,0,4,4,2,3.333333333
Indian,obese,0,3,0,1,2,0,4,3,3,3.333333333
Hondurans,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Guinean,dirty,2,1,0,1,2,0,4,4,2,3.333333333
Guatemalan,dirty,1,2,0,1,2,0,4,4,2,3.333333333
German,aggressive,3,0,0,3,0,0,3,4,3,3.333333333
Gambian,dirty,2,1,0,2,1,0,4,4,2,3.333333333
Gabonese,dirty,2,1,0,2,1,0,4,4,2,3.333333333
Egyptian,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Ecuadorian,dirty,2,1,0,1,2,0,4,4,2,3.333333333
Djiboutian,dirty,2,1,0,2,1,0,4,4,2,3.333333333
Danish,dirty,0,3,0,1,2,0,4,4,2,3.333333333
Costa Rican,dirty,1,2,0,1,2,0,4,4,2,3.333333333
Congolese,brutal,2,1,0,2,1,0,4,3,3,3.333333333
Congolese,dirty,2,1,0,1,2,0,4,4,2,3.333333333
Comorans,dirty,2,1,0,2,1,0,4,4,2,3.333333333
Colombian,dirty,1,2,0,1,2,0,4,4,2,3.333333333
Chinese,aggressive,1,2,0,2,1,0,3,4,3,3.333333333
Chinese,brutal,1,2,0,1,2,0,4,3,3,3.333333333
Chinese,dirty,0,3,0,2,1,0,4,4,2,3.333333333
Chilean,dirty,1,2,0,1,2,0,4,4,2,3.333333333
Chadian,dirty,3,0,0,2,1,0,4,4,2,3.333333333
Central African,dirty,2,1,0,2,1,0,4,4,2,3.333333333
Cameroonian,dirty,2,1,0,3,0,0,4,4,2,3.333333333
Cambodian,dirty,2,1,0,2,1,0,4,4,2,3.333333333
Bulgarian,dirty,1,2,0,3,0,0,4,4,2,3.333333333
Bolivian,dirty,1,2,0,2,1,0,4,4,2,3.333333333
Bhutanese,dirty,3,0,0,0,3,0,4,4,2,3.333333333
Azerbaijani,aggressive,1,2,0,1,1,1,3,4,3,3.333333333
Australian,aggressive,1,2,0,1,2,0,3,4,3,3.333333333
Australian,brutal,1,2,0,1,2,0,4,3,3,3.333333333
Australian,dirty,1,2,0,1,2,0,4,4,2,3.333333333
Armenian,aggressive,0,3,0,1,1,1,3,4,3,3.333333333
Argentine,aggressive,1,2,0,2,1,0,3,4,3,3.333333333
Argentine,dirty,1,2,0,1,2,0,4,4,2,3.333333333
Algerian,aggressive,1,2,0,3,0,0,3,4,3,3.333333333
Algerian,dirty,1,2,0,1,2,0,4,4,2,3.333333333
Albanian,dirty,3,0,0,2,1,0,4,4,2,3.333333333
Afghans,brutal,3,0,0,3,0,0,4,3,3,3.333333333
Afghans,aggressive,3,0,0,1,2,0,3,4,3,3.333333333
Zimbabwean,corrupt,2,1,0,3,0,0,4,3,2,3
Zimbabwean,unintelligent,2,1,0,2,1,0,4,2,3,3
Zimbabwean,scammer,2,1,0,2,1,0,4,3,2,3
Vietnamese,unintelligent,2,1,0,2,1,0,4,2,3,3
Vietnamese,corrupt,1,2,0,0,3,0,4,3,2,3
Venezuelan,corrupt,3,0,0,3,0,0,4,3,2,3
Venezuelan,fat,1,2,0,1,2,0,3,3,3,3
United States,gun violence,2,1,0,2,1,0,4,2,3,3
Turks,untidy,4,2,0,0,6,0,3,4,2,3
Turks,unintelligent,0,3,0,1,2,0,4,2,3,3
Tunisian,corrupt,1,1,1,2,1,0,4,3,2,3
Swazis,untidy,2,1,0,1,2,0,3,4,2,3
Sudanese,unintelligent,1,2,0,2,1,0,4,2,3,3
Sudanese,liar,0,3,0,1,2,0,4,3,2,3
Sudanese,fat,0,3,0,1,2,0,3,3,3,3
South Sudanese,unintelligent,2,1,0,1,2,0,4,2,3,3
South African,xenophobic,3,0,0,2,1,0,3,4,2,3
South African,corrupt,2,1,0,2,1,0,4,3,2,3
South African,unintelligent,2,1,0,1,2,0,4,2,3,3
Somalis,fat,2,1,0,0,3,0,3,3,3,3
Sierra Leonean,unintelligent,2,1,0,1,2,0,4,2,3,3
Serbian,liar,2,1,0,1,2,0,4,3,2,3
Senegalese,corrupt,2,1,0,2,1,0,4,3,2,3
Saudi Arabian,corrupt,2,1,0,2,1,0,4,3,2,3
Saudi Arabian,unintelligent,1,1,1,1,2,0,4,2,3,3
Russian,corrupt,3,0,0,0,3,0,4,3,2,3
Romanian,corrupt,3,0,0,2,1,0,4,3,2,3
Portuguese,corrupt,3,0,0,3,0,0,4,3,2,3
Polish,unintelligent,1,2,0,0,3,0,4,2,3,3
Philippine,corrupt,2,1,0,1,2,0,4,3,2,3
Philippine,liar,1,2,0,0,3,0,4,3,2,3
Philippine,unintelligent,1,2,0,0,3,0,4,2,3,3
Pakistani,liar,3,0,0,2,1,0,4,3,2,3
Pakistani,corrupt,3,0,0,2,1,0,4,3,2,3
Pakistani,untidy,2,1,0,0,3,0,3,4,2,3
North Korean,poorly dress,1,2,0,0,3,0,3,3,3,3
North Korean,unintelligent,1,2,0,0,3,0,4,2,3,3
Nigerian,corrupt,3,0,0,3,0,0,4,3,2,3
Nigerian,scammer,2,1,0,3,0,0,4,3,2,3
Nigerian,fat,2,1,0,1,2,0,3,3,3,3
Nigerian,unintelligent,2,1,0,1,2,0,4,2,3,3
New Zealand,unintelligent,1,2,0,3,0,0,4,2,3,3
New Zealand,idiotic,1,2,0,1,2,0,3,3,3,3
New Zealand,untidy,1,2,0,1,2,0,3,4,2,3
New Zealand,fat,0,3,0,2,1,0,3,3,3,3
New Zealand,corrupt,0,3,0,1,2,0,4,3,2,3
Nepalese,untidy,3,0,0,1,1,1,3,4,2,3
Myanmar,unintelligent,2,1,0,1,2,0,4,2,3,3
Moroccan,corrupt,0,3,0,3,0,0,4,3,2,3
Moroccan,idiotic,0,3,0,1,2,0,3,3,3,3
Mexican,stupid,2,4,0,4,2,0,1.5,4,3.5,3
Mexican,corrupt,2,1,0,2,1,0,4,3,2,3
Mexican,fat,1,2,0,2,1,0,3,3,3,3
Mexican,unintelligent,1,2,0,2,1,0,4,2,3,3
Mauritian,fat,3,0,0,1,2,0,3,3,3,3
Mauritian,corrupt,2,1,0,3,0,0,4,3,2,3
Malaysian,corrupt,1,1,1,2,1,0,4,3,2,3
Malaysian,unintelligent,1,2,0,0,3,0,4,2,3,3
Libyan,uncivilised,2,1,0,2,1,0,2,4,3,3
Libyan,corrupt,1,2,0,2,1,0,4,3,2,3
Lebanese,liar,1,2,0,2,1,0,4,3,2,3
Lebanese,corrupt,0,3,0,2,1,0,4,3,2,3
Laos,unintelligent,2,1,0,1,2,0,4,2,3,3
Kenyan,corrupt,2,1,0,3,0,0,4,3,2,3
Japanese,pervert,1,2,0,1,2,0,2,3,4,3
Ivorians,liar,2,1,0,2,1,0,4,3,2,3
Italian,corrupt,3,0,0,2,1,0,4,3,2,3
Irish,unintelligent,1,2,0,3,0,0,4,2,3,3
Iraqi,unintelligent,1,2,0,0,3,0,4,2,3,3
Indonesian,corrupt,2,1,0,1,2,0,4,3,2,3
Indonesian,unintelligent,1,2,0,1,2,0,4,2,3,3
Indian,corrupt,1,2,0,2,1,0,4,3,2,3
Indian,idiotic,1,2,0,1,2,0,3,3,3,3
Indian,liar,1,2,0,1,2,0,4,3,2,3
Indian,uncivilised,1,2,0,0,3,0,2,4,3,3
Indian,untidy,1,2,0,0,3,0,3,4,2,3
Indian,fat,0,3,0,1,2,0,3,3,3,3
Herzegovinian,liar,1,1,1,3,0,0,4,3,2,3
Guatemalan,fat,1,2,0,1,2,0,3,3,3,3
Greeks,corrupt,3,0,0,1,2,0,4,3,2,3
Ghanaian,fat,3,0,0,2,1,0,3,3,3,3
Ghanaian,unintelligent,2,1,0,2,1,0,4,2,3,3
Ghanaian,untidy,2,1,0,2,1,0,3,4,2,3
Ghanaian,dirty,2,1,0,1,2,0,3,3,3,3
Gambian,fat,3,0,0,1,2,0,3,3,3,3
Gambian,unintelligent,2,1,0,2,1,0,4,2,3,3
Gambian,liar,2,1,0,2,1,0,4,3,2,3
French,malodorous,1,2,0,2,1,0,4,2,3,3
Ethiopian,uncivilised,2,1,0,3,0,0,2,4,3,3
Ethiopian,unintelligent,2,1,0,2,1,0,4,2,3,3
Ethiopian,fat,2,1,0,1,2,0,3,3,3,3
Egyptian,scammer,0,3,0,1,2,0,4,3,2,3
Ecuadorian,corrupt,1,2,0,1,2,0,4,3,2,3
Ecuadorian,unintelligent,1,2,0,1,2,0,4,2,3,3
Cypriot,liar,2,1,0,1,2,0,4,3,2,3
Cypriot,pervert,0,3,0,1,1,1,2,3,4,3
Congolese,unintelligent,2,1,0,3,0,0,4,2,3,3
Colombian,corrupt,2,1,0,3,0,0,4,3,2,3
Colombian,unintelligent,1,2,0,1,2,0,4,2,3,3
Chinese,untidy,1,2,0,2,1,0,3,4,2,3
Chinese,corrupt,1,2,0,2,1,0,4,3,2,3
Cameroonian,unintelligent,2,1,0,3,0,0,4,2,3,3
Cameroonian,untidy,2,1,0,1,2,0,3,4,2,3
Cambodian,unintelligent,2,1,0,1,2,0,4,2,3,3
Bulgarian,liar,2,1,0,1,2,0,4,3,2,3
Brazilian,corrupt,2,1,0,3,0,0,4,3,2,3
Bolivian,unintelligent,2,1,0,1,2,0,4,2,3,3
Bangladeshi,corrupt,2,1,0,1,2,0,4,3,2,3
Bangladeshi,liar,2,1,0,1,1,1,4,3,2,3
Azerbaijani,liar,0,3,0,1,1,1,4,3,2,3
Australian,xenophobic,2,1,0,2,1,0,3,4,2,3
Australian,unintelligent,1,2,0,2,1,0,4,2,3,3
Australian,liar,1,2,0,1,2,0,4,3,2,3
Australian,fat,1,2,0,1,2,0,3,3,3,3
Australian,untidy,1,2,0,1,2,0,3,4,2,3
Australian,idiotic,0,3,0,2,1,0,3,3,3,3
Australian,corrupt,0,3,0,1,2,0,4,3,2,3
Australian,smelled the bad,0,3,0,1,2,0,4,2,3,3
Armenian,liar,0,3,0,1,2,0,4,3,2,3
Argentine,stupid,2,4,0,2,4,0,2.5,3.5,3,3
Argentine,corrupt,1,2,0,3,0,0,4,3,2,3
Algerian,corrupt,0,3,0,3,0,0,4,3,2,3
Albanian,liar,3,0,0,2,1,0,4,3,2,3
Afghans,unintelligent,3,0,0,3,0,0,4,2,3,3
Afghans,corrupt,2,1,0,0,3,0,4,3,2,3
Zimbabwean,racist,3,0,0,1,1,1,2,3,3,2.666666667
Zimbabwean,smell bad,3,0,0,1,2,0,2,3,3,2.666666667
Zimbabwean,uneducated,2,1,0,3,0,0,4,2,2,2.666666667
Zimbabwean,stupid,2,1,0,1,2,0,1,4,3,2.666666667
Zambian,drunkard,3,0,0,2,1,0,2,3,3,2.666666667
Zambian,smell bad,3,0,0,1,2,0,2,3,3,2.666666667
Zambian,uneducated,2,1,0,2,1,0,4,2,2,2.666666667
Zambian,stupid,2,1,0,1,2,0,1,4,3,2.666666667
Welsh,stupid,1,2,0,1,2,0,1,4,3,2.666666667
Vietnamese,stupid,1,1,1,1,2,0,1,4,3,2.666666667
Vietnamese,ugly,1,2,0,1,2,0,2,3,3,2.666666667
Vietnamese,treacherous,0,3,0,2,1,0,4,2,2,2.666666667
Vietnamese,illegal,0,3,0,1,2,0,4,1,3,2.666666667
Venezuelan,ugly,2,1,0,1,2,0,2,3,3,2.666666667
Venezuelan,dumb,1,2,0,1,2,0,1,4,3,2.666666667
Venezuelan,stupid,1,2,0,1,2,0,1,4,3,2.666666667
Uruguayan,stupid,1,2,0,1,2,0,1,4,3,2.666666667
United States,filthy,2,1,0,2,1,0,4,3,1,2.666666667
Ugandan,ugly,2,1,0,3,0,0,2,3,3,2.666666667
Ugandan,uneducated,2,1,0,2,1,0,4,2,2,2.666666667
Ugandan,stupid,2,1,0,1,2,0,1,4,3,2.666666667
Ugandan,idiot,2,1,0,1,2,0,2,3,3,2.666666667
Turks,sly,3,0,0,2,1,0,3,4,1,2.666666667
Turks,smells bad,2,1,0,1,2,0,2,4,2,2.666666667
Turks,stupid,1,2,0,1,2,0,1,4,3,2.666666667
