,,Stereotype Ratings within Region,,,Stereotype Ratings from North America,,,Offensiveness Annotations,,,
Indian,diverse,3,0,0,3,0,0,NA,NA,NA,0
Indian,diversity,3,0,0,3,0,0,NA,NA,NA,0
Indian,eat curry,3,0,0,3,0,0,NA,NA,NA,0
Indian,spicy food,3,0,0,3,0,0,NA,NA,NA,0
Indian,peace-loving,3,0,0,3,0,0,NA,NA,NA,0
Indian,love Bollywood,3,0,0,3,0,0,NA,NA,NA,0
Indian,hockey,3,0,0,3,0,0,NA,NA,NA,0
Indian,laborious,3,0,0,3,0,0,NA,NA,NA,0
Afghanis,terrorists,3,0,0,3,0,0,NA,NA,NA,0
Nigerian,scam,3,0,0,3,0,0,NA,NA,NA,0
Nigerian,fraudsters,3,0,0,3,0,0,NA,NA,NA,0
Nigerian,conmen,3,0,0,3,0,0,NA,NA,NA,0
Sudanese,underfed,3,0,0,3,0,0,NA,NA,NA,0
Israeli,good at war,3,0,0,3,0,0,2,-1,-1,0
Mexican,drugdealer,3,0,0,3,0,0,NA,NA,NA,0
Mexican,illegal immigrant,3,0,0,3,0,0,NA,NA,NA,0
Mexican,drug pushers,3,0,0,3,0,0,NA,NA,NA,0
Mexican,drug smugglers,3,0,0,3,0,0,NA,NA,NA,0
Mexican,drug users,3,0,0,3,0,0,NA,NA,NA,0
Mexican,druggies,3,0,0,3,0,0,NA,NA,NA,0
Mexican,gang members,3,0,0,3,0,0,NA,NA,NA,0
Mexican,are murderers,3,0,0,3,0,0,NA,NA,NA,0
Mexican,drug traffickers,3,0,0,3,0,0,NA,NA,NA,0
Mexican,love tequila,3,0,0,3,0,0,NA,NA,NA,0
Brazilian,sensual,3,0,0,3,0,0,-1,2,-1,0
Mexican,love donkeys,3,0,0,3,0,0,NA,NA,NA,0
Mexican,too loud,3,0,0,3,0,0,NA,NA,NA,0
Mexican,thugs,3,0,0,3,0,0,NA,NA,NA,0
Mexican,stole jobs,3,0,0,3,0,0,NA,NA,NA,0
Mexican,like to steal,3,0,0,3,0,0,NA,NA,NA,0
Australian,fun-loving,3,0,0,3,0,0,NA,NA,NA,0
Australian,liked to play rugby,3,0,0,3,0,0,NA,NA,NA,0
Australian,expert at swimming,3,0,0,3,0,0,NA,NA,NA,0
Australian,sports-loving,3,0,0,3,0,0,NA,NA,NA,0
Australian,very laid back,3,0,0,3,0,0,NA,NA,NA,0
Australian,laid-back,3,0,0,3,0,0,NA,NA,NA,0
Australian,very good at cricket,3,0,0,3,0,0,NA,NA,NA,0
Australian,good sense of humour,3,0,0,3,0,0,NA,NA,NA,0
Australian,who can take a joke,3,0,0,3,0,0,NA,NA,NA,0
Australian,good cricketers,3,0,0,3,0,0,NA,NA,NA,0
Australian,good at swimming,3,0,0,3,0,0,NA,NA,NA,0
Australian,drink beer,3,0,0,3,0,0,NA,NA,NA,0
Australian,good at drinking,3,0,0,3,0,0,NA,NA,NA,0
Australian,love surfing,3,0,0,3,0,0,NA,NA,NA,0
Australian,sporting,3,0,0,3,0,0,NA,NA,NA,0
Australian,good at surfing,3,0,0,3,0,0,NA,NA,NA,0
Australian,convicts,3,0,0,3,0,0,NA,NA,NA,0
Australian,blonde,3,0,0,3,0,0,-1,2,-1,0
Australian,bogans,3,0,0,3,0,0,NA,NA,NA,0
Australian,chilled,3,0,0,3,0,0,NA,NA,NA,0
Australian,who can laugh at others,3,0,0,3,0,0,NA,NA,NA,0
New Zealand,nature lovers,3,0,0,3,0,0,NA,NA,NA,0
New Zealand,kiwi,3,0,0,3,0,0,NA,NA,NA,0
New Zealand,safe,3,0,0,3,0,0,NA,NA,NA,0
Australian,very good at swimming,3,0,0,3,0,0,NA,NA,NA,0
Australian,beach-loving,3,0,0,3,0,0,NA,NA,NA,0
New Zealand,sheep herders,3,0,0,3,0,0,NA,NA,NA,0
Australian,adventureous,3,0,0,3,0,0,NA,NA,NA,0
Australian,young in spirit,3,0,0,3,0,0,NA,NA,NA,0
Australian,youthful at heart,3,0,0,3,0,0,NA,NA,NA,0
New Zealand,drank beer,3,0,0,3,0,0,NA,NA,NA,0
United States,patriots,3,0,0,3,0,0,NA,NA,NA,0
United States,opportunistic,3,0,0,3,0,0,NA,NA,NA,0
United States,very patriotic,3,0,0,3,0,0,-1,2,-1,0
Canadian,very polite,3,0,0,3,0,0,NA,NA,NA,0
Canadian,were nice,3,0,0,3,0,0,NA,NA,NA,0
United States,were very patriotic,3,0,0,3,0,0,NA,NA,NA,0
Canadian,hockey-loving,3,0,0,3,0,0,NA,NA,NA,0
Canadian,good at ice hockey,3,0,0,3,0,0,NA,NA,NA,0
United States,freedom-loving,3,0,0,3,0,0,NA,NA,NA,0
British,sophisticated,3,0,0,3,0,0,-1,-1,1,-0.333
Japanese,sophisticated,3,0,0,3,0,0,-1,-1,1,-0.333
Saudi Arabian,conservative,3,0,0,3,0,0,-1,-1,1,-0.333
British,imperialist,3,0,0,3,0,0,1,-1,-1,-0.3333333333
German,discipline,3,0,0,3,0,0,-1,1,-1,-0.3333333333
Italian,temperamental,3,0,0,3,0,0,-1,1,-1,-0.3333333333
Afghans,frightening,3,0,0,3,0,0,1,-1,-1,-0.3333333333
United States,more independent,3,0,0,3,0,0,-1,1,-1,-0.3333333333
Sudanese,starving,3,0,0,3,0,0,0,-1,-1,-0.6666666667
Italian,family,3,0,0,3,0,0,-1,-1,-1,-1
Italian,family-oriented,3,0,0,3,0,0,-1,-1,-1,-1
Italian,fashion,3,0,0,3,0,0,-1,-1,-1,-1
Greeks,proud,3,0,0,3,0,0,-1,-1,-1,-1
Greeks,passionate,3,0,0,3,0,0,-1,-1,-1,-1
Greeks,ancient,3,0,0,3,0,0,-1,-1,-1,-1
Irish,love to drink,3,0,0,3,0,0,-1,-1,-1,-1
French,cheese-eating,3,0,0,3,0,0,-1,-1,-1,-1
Swedes,environmentally-conscious,3,0,0,3,0,0,-1,-1,-1,-1
Finns,love saunas,3,0,0,3,0,0,-1,-1,-1,-1
British,polite,3,0,0,3,0,0,-1,-1,-1,-1
French,elegant,3,0,0,3,0,0,-1,-1,-1,-1
German,efficiency,3,0,0,3,0,0,-1,-1,-1,-1
German,good at beer,3,0,0,3,0,0,-1,-1,-1,-1
German,good at cars,3,0,0,3,0,0,-1,-1,-1,-1
Russian,drink vodka,3,0,0,3,0,0,-1,-1,-1,-1
Swiss,neutral,3,0,0,3,0,0,-1,-1,-1,-1
French,good at kissing,3,0,0,3,0,0,-1,-1,-1,-1
French,love bread,3,0,0,3,0,0,-1,-1,-1,-1
Spanish,love siestas,3,0,0,3,0,0,-1,-1,-1,-1
French,very good at making wine,3,0,0,3,0,0,-1,-1,-1,-1
Russian,prefer vodka,3,0,0,3,0,0,-1,-1,-1,-1
English,superior,3,0,0,3,0,0,-1,-1,-1,-1
Russian,drinking,3,0,0,3,0,0,-1,-1,-1,-1
Russian,good at chess,3,0,0,3,0,0,-1,-1,-1,-1
English,direct,3,0,0,3,0,0,-1,-1,-1,-1
Russian,strong,3,0,0,3,0,0,-1,-1,-1,-1
Russian,tough,3,0,0,3,0,0,-1,-1,-1,-1
French,fashionable,3,0,0,3,0,0,-1,-1,-1,-1
Russian,vodka-loving,3,0,0,3,0,0,-1,-1,-1,-1
Swedes,trustworthy,3,0,0,3,0,0,-1,-1,-1,-1
Swiss,good at making chocolate,3,0,0,3,0,0,-1,-1,-1,-1
English,proper,3,0,0,3,0,0,-1,-1,-1,-1
French,wine,3,0,0,3,0,0,-1,-1,-1,-1
Italian,fashionable,3,0,0,3,0,0,-1,-1,-1,-1
Italian,artistic,3,0,0,3,0,0,-1,-1,-1,-1
Italian,spicy,3,0,0,3,0,0,-1,-1,-1,-1
Italian,love food,3,0,0,3,0,0,-1,-1,-1,-1
Italian,love ice cream,3,0,0,3,0,0,-1,-1,-1,-1
Italian,stylish,3,0,0,3,0,0,-1,-1,-1,-1
Greeks,hairy,3,0,0,3,0,0,-1,-1,-1,-1
German,beer,3,0,0,3,0,0,-1,-1,-1,-1
Japanese,hard-working,3,0,0,3,0,0,-1,-1,-1,-1
Japanese,rich,3,0,0,3,0,0,-1,-1,-1,-1
Japanese,diligent,3,0,0,3,0,0,-1,-1,-1,-1
Japanese,stoic,3,0,0,3,0,0,-1,-1,-1,-1
Japanese,respectful,3,0,0,3,0,0,-1,-1,-1,-1
Japanese,reliable,3,0,0,3,0,0,-1,-1,-1,-1
Japanese,clean,3,0,0,3,0,0,-1,-1,-1,-1
Chinese,smart,3,0,0,3,0,0,-1,-1,-1,-1
Japanese,modest,3,0,0,3,0,0,-1,-1,-1,-1
Japanese,loyal,3,0,0,3,0,0,-1,-1,-1,-1
Japanese,industrious,3,0,0,3,0,0,-1,-1,-1,-1
Japanese,efficient,3,0,0,3,0,0,-1,-1,-1,-1
North Korean,patriotic,3,0,0,3,0,0,-1,-1,-1,-1
Japanese,tradition-minded,3,0,0,3,0,0,-1,-1,-1,-1
Japanese,were polite,3,0,0,3,0,0,-1,-1,-1,-1
Japanese,work hard,3,0,0,3,0,0,-1,-1,-1,-1
Thai,traditional,3,0,0,3,0,0,-1,-1,-1,-1
North Korean,disciplined,3,0,0,3,0,0,-1,-1,-1,-1
Iranian,religious,3,0,0,3,0,0,-1,-1,-1,-1
Indian,very friendly,3,0,0,3,0,0,-1,-1,-1,-1
Indian,tradition-bound,3,0,0,3,0,0,-1,-1,-1,-1
Indian,welcoming,3,0,0,3,0,0,-1,-1,-1,-1
Pakistani,religious,3,0,0,3,0,0,-1,-1,-1,-1
Nepali,brave,3,0,0,3,0,0,-1,-1,-1,-1
Indian,are hospitable,3,0,0,3,0,0,-1,-1,-1,-1
Indian,excellent food,3,0,0,3,0,0,-1,-1,-1,-1
Indian,family oriented,3,0,0,3,0,0,-1,-1,-1,-1
Indian,love cricket,3,0,0,3,0,0,-1,-1,-1,-1
Indian,love curry,3,0,0,3,0,0,-1,-1,-1,-1
Indian,peaceful,3,0,0,3,0,0,-1,-1,-1,-1
Indian,fought for freedom,3,0,0,3,0,0,-1,-1,-1,-1
Indian,self-controlled,3,0,0,3,0,0,-1,-1,-1,-1
Indian,smart,3,0,0,3,0,0,-1,-1,-1,-1
Indian,smarter,3,0,0,3,0,0,-1,-1,-1,-1
Indian,spicy,3,0,0,3,0,0,-1,-1,-1,-1
Indian,kind,3,0,0,3,0,0,-1,-1,-1,-1
Indian,intelligent,3,0,0,3,0,0,-1,-1,-1,-1
Indian,friendly,3,0,0,3,0,0,-1,-1,-1,-1
Indian,good,3,0,0,3,0,0,-1,-1,-1,-1
Indian,good at cricket,3,0,0,3,0,0,-1,-1,-1,-1
Indian,good at curry,3,0,0,3,0,0,-1,-1,-1,-1
Indian,good at playing cricket,3,0,0,3,0,0,-1,-1,-1,-1
Indian,hard-working,3,0,0,3,0,0,-1,-1,-1,-1
Indian,hardworking,3,0,0,3,0,0,-1,-1,-1,-1
Indian,good at making curry,3,0,0,3,0,0,-1,-1,-1,-1
Indian,respectful,3,0,0,3,0,0,-1,-1,-1,-1
Indian,curry,3,0,0,3,0,0,-1,-1,-1,-1
Cameroonian,tribalistic,3,0,0,3,0,0,-1,-1,-1,-1
Saudi Arabian,religious,3,0,0,3,0,0,-1,-1,-1,-1
Saudi Arabian,traditional,3,0,0,3,0,0,-1,-1,-1,-1
Saudi Arabian,wealthy,3,0,0,3,0,0,-1,-1,-1,-1
Sudanese,hungry,3,0,0,3,0,0,-1,-1,-1,-1
Turks,proud,3,0,0,3,0,0,-1,-1,-1,-1
Egyptian,interesting,3,0,0,3,0,0,-1,-1,-1,-1
Turks,diligent,3,0,0,3,0,0,-1,-1,-1,-1
Turks,love kebab,3,0,0,3,0,0,-1,-1,-1,-1
Kuwaiti,rich,3,0,0,3,0,0,-1,-1,-1,-1
Mexican,drank,3,0,0,3,0,0,-1,-1,-1,-1
Australian,love cricket,3,0,0,3,0,0,-1,-1,-1,-1
Australian,love sports,3,0,0,3,0,0,-1,-1,-1,-1
Australian,sport-loving,3,0,0,3,0,0,-1,-1,-1,-1
Australian,very relaxed,3,0,0,3,0,0,-1,-1,-1,-1
Australian,love to travel,3,0,0,3,0,0,-1,-1,-1,-1
Australian,very hospitable,3,0,0,3,0,0,-1,-1,-1,-1
Australian,humorous,3,0,0,3,0,0,-1,-1,-1,-1
Australian,love beer,3,0,0,3,0,0,-1,-1,-1,-1
Australian,good at sports,3,0,0,3,0,0,-1,-1,-1,-1
Australian,down to earth,3,0,0,3,0,0,-1,-1,-1,-1
Australian,easygoing,3,0,0,3,0,0,-1,-1,-1,-1
Australian,extroverted,3,0,0,3,0,0,-1,-1,-1,-1
Australian,fit,3,0,0,3,0,0,-1,-1,-1,-1
Australian,fun,3,0,0,3,0,0,-1,-1,-1,-1
Australian,fun loving,3,0,0,3,0,0,-1,-1,-1,-1
Australian,good at cricket,3,0,0,3,0,0,-1,-1,-1,-1
Australian,love to drink,3,0,0,3,0,0,-1,-1,-1,-1
Australian,very outgoing,3,0,0,3,0,0,-1,-1,-1,-1
Australian,sporty,3,0,0,3,0,0,-1,-1,-1,-1
Australian,outdoorsy,3,0,0,3,0,0,-1,-1,-1,-1
Australian,outgoing,3,0,0,3,0,0,-1,-1,-1,-1
Australian,positive,3,0,0,3,0,0,-1,-1,-1,-1
Australian,sociable,3,0,0,3,0,0,-1,-1,-1,-1
Australian,laid back,3,0,0,3,0,0,-1,-1,-1,-1
Australian,happy,3,0,0,3,0,0,-1,-1,-1,-1
Australian,attractive,3,0,0,3,0,0,-1,-1,-1,-1
Australian,friendly,3,0,0,3,0,0,-1,-1,-1,-1
Australian,athletic,3,0,0,3,0,0,-1,-1,-1,-1
Australian,blond,3,0,0,3,0,0,-1,-1,-1,-1
Australian,blue eyed,3,0,0,3,0,0,-1,-1,-1,-1
Australian,confident,3,0,0,3,0,0,-1,-1,-1,-1
Australian,adventurous,3,0,0,3,0,0,-1,-1,-1,-1
New Zealand,relaxed,3,0,0,3,0,0,-1,-1,-1,-1
Australian,are very good at swimming,3,0,0,3,0,0,-1,-1,-1,-1
Australian,youthful,3,0,0,3,0,0,-1,-1,-1,-1
New Zealand,adventurous,3,0,0,3,0,0,-1,-1,-1,-1
New Zealand,good at rugby,3,0,0,3,0,0,-1,-1,-1,-1
United States,love freedom,3,0,0,3,0,0,-1,-1,-1,-1
United States,love McDonalds,3,0,0,3,0,0,-1,-1,-1,-1
United States,sport-loving,3,0,0,3,0,0,-1,-1,-1,-1
Canadian,welcoming,3,0,0,3,0,0,-1,-1,-1,-1
Canadian,very good at hockey,3,0,0,3,0,0,-1,-1,-1,-1
Canadian,too polite,3,0,0,3,0,0,-1,-1,-1,-1
Canadian,snow-loving,3,0,0,3,0,0,-1,-1,-1,-1
United States,love to watch football,3,0,0,3,0,0,-1,-1,-1,-1
Canadian,love ice hockey,3,0,0,3,0,0,-1,-1,-1,-1
Canadian,good at playing hockey,3,0,0,3,0,0,-1,-1,-1,-1
Afghans,terrorism,3,0,0,2,1,0,4,4,4,4
Somalis,terrorist,3,0,0,2,1,0,4,4,4,4
Australian,criminal,3,0,0,2,1,0,4,4,4,4
Irish,violent,3,0,0,2,1,0,4,4,3,3.666666667
Albanian,thieves,3,0,0,2,1,0,3,4,4,3.666666667
Afghanis,violent,3,0,0,2,1,0,4,4,3,3.666666667
Pakistani,illiterate,3,0,0,2,1,0,4,4,3,3.666666667
Beninois,violent,3,0,0,2,1,0,4,4,3,3.666666667
Albanian,dirty,3,0,0,2,1,0,4,4,2,3.333333333
Pakistani,brutal,3,0,0,2,1,0,4,3,3,3.333333333
Chadian,dirty,3,0,0,2,1,0,4,4,2,3.333333333
Israeli,aggressive,3,0,0,2,1,0,3,4,3,3.333333333
Palestinian,aggressive,3,0,0,2,1,0,3,4,3,3.333333333
Italian,corrupt,3,0,0,2,1,0,4,3,2,3
Albanian,liars,3,0,0,2,1,0,4,3,2,3
Romanian,corrupt,3,0,0,2,1,0,4,3,2,3
Pakistani,liars,3,0,0,2,1,0,4,3,2,3
Pakistani,corrupt,3,0,0,2,1,0,4,3,2,3
Ghanaian,fat,3,0,0,2,1,0,3,3,3,3
South African,xenophobic,3,0,0,2,1,0,3,4,2,3
Russian,illegal,3,0,0,2,1,0,4,1,3,2.666666667
Romanian,beggars,3,0,0,2,1,0,2,4,2,2.666666667
Pakistani,uneducated,3,0,0,2,1,0,4,2,2,2.666666667
Zambian,drunkards,3,0,0,2,1,0,2,3,3,2.666666667
Turks,sly,3,0,0,2,1,0,3,4,1,2.666666667
Bolivian,ugly,3,0,0,2,1,0,2,3,3,2.666666667
Mexican,illegal,3,0,0,2,1,0,4,1,3,2.666666667
Greeks,lazy,3,0,0,2,1,0,3,2,2,2.333333333
German,ruthless,3,0,0,2,1,0,2,4,1,2.333333333
English,arrogant,3,0,0,2,1,0,2,4,1,2.333333333
Spanish,lazy,3,0,0,2,1,0,3,2,2,2.333333333
Sri Lankan,poor,3,0,0,2,1,0,3,3,1,2.333333333
Pakistani,greedy,3,0,0,2,1,0,3,3,1,2.333333333
Ugandan,lazy,3,0,0,2,1,0,3,2,2,2.333333333
Ugandan,poor,3,0,0,2,1,0,3,3,1,2.333333333
Cameroonian,very poor,3,0,0,2,1,0,2,3,2,2.333333333
Cameroonian,less educated,3,0,0,2,1,0,2,4,1,2.333333333
Liberian,barbaric,3,0,0,2,1,0,4,-1,4,2.333333333
Somalis,dangerous,3,0,0,2,1,0,2,3,2,2.333333333
Gambian,poor,3,0,0,2,1,0,3,3,1,2.333333333
Seychellois,poor,3,0,0,2,1,0,3,3,1,2.333333333
Namibian,lazy,3,0,0,2,1,0,3,2,2,2.333333333
Mauritian,poor,3,0,0,2,1,0,3,3,1,2.333333333
Togolese,poor,3,0,0,2,1,0,3,3,1,2.333333333
Zimbabwean,very poor,3,0,0,2,1,0,2,3,2,2.333333333
Liberian,poor,3,0,0,2,1,0,3,3,1,2.333333333
Chadian,poor,3,0,0,2,1,0,3,3,1,2.333333333
Guinean,poor,3,0,0,2,1,0,3,3,1,2.333333333
Barundi,poor,3,0,0,2,1,0,3,3,1,2.333333333
Ugandan,impoverished,3,0,0,2,1,0,3,3,1,2.333333333
Zambian,poor,3,0,0,2,1,0,3,3,1,2.333333333
Ethiopian,impoverished,3,0,0,2,1,0,3,3,1,2.333333333
Ivorians,poor,3,0,0,2,1,0,3,3,1,2.333333333
Congolese,poor,3,0,0,2,1,0,3,3,1,2.333333333
Ghanaian,lazy,3,0,0,2,1,0,3,2,2,2.333333333
Equatorial Guinean,poor,3,0,0,2,1,0,3,3,1,2.333333333
Djiboutian,poor,3,0,0,2,1,0,3,3,1,2.333333333
Russian,drunk,3,0,0,2,1,0,3,2,1,2
French,chauvinistic,3,0,0,2,1,0,2,2,2,2
Kosovar,unattractive,3,0,0,2,1,0,2,3,1,2
Scottish,drunk,3,0,0,2,1,0,3,2,1,2
Pakistani,insolent,3,0,0,2,1,0,2,3,1,2
Afghans,uncivilized,3,0,0,2,1,0,-1,4,3,2
